Column1,Product,Handle,Price,,,,,
245,Twist + Chill Wrap Top,twist-chill-wrap-top-coconut,140,,,,,
246,Twist + Chill Wrap Top,twist-chill-wrap-top-merlot,140,,,,,
247,Twist + Chill Wrap Top,twist-chill-wrap-top-chili,140,,,,,
248,Under Wraps Pants,under-wraps-pant-black,220,,,,,
249,Up In The Air Jacket,womens-lightweight-zip-up-jacket-up-in-the-air,170,,,,,
250,Up In The Air Jacket,up-in-the-air-jacket-midnight,170,,,,,
251,Warm All Year Pullover,warm-all-year-pullover,165,,,,,
252,Warm All Year Pullover,warm-all-year-pullover-taupe,165,,,,,
253,Warm Up Pants,warm-up-pants-black,190,,,,,
254,Warm Up Pants,warm-up-pants-latte,190,,,,,
255,Wind Down Wrap Dress,womens-wrap-around-dress-wind-down,300,,,,,
256,Wind Down Wrap Dress,wind-down-wrap-dress-coconut,300,,,,,
257,Wrapped In Flax Top,wrapped-in-flax-wrap-top-black,150,,,,,
258,Wrapped In Flax Top,wrapped-in-flax-top-coconut,150,,,,,
