Column1,Cloth_Desc,Price
342,A Girl Like Me Jeans - Dark Denim,20.0
343,No Sensor Distressed Denim Jeans - Medium Blue Wash,11.98
344,Evil Queen Dress - Black,8.98
345,Weekend Warrior Pant Set - Black,44.99
346,Heart Sigh Skirt Set - Black,24.99
347,Up All Night Romper - Grey,6.98
348,Classic Button Up Skinny Jeans - Dark Denim,11.98
349,Aubrey High Rise Distressed Jeans - Dark Denim,9.98
350,Venetian High Rise Pants - Black,19.99
351,Bondoc Biker Short Set - White,34.99
352,Statuesque Booty Lifting Jeans - Dark Denim,19.99
353,Tough Luck Jeans - Light Blue,15.98
354,Make You Fall In Love Dress - Black,29.99
355,Get You Alone Booty Lifter Skinny Jeans - Light Blue Wash,23.99
356,Eva Super Soft Curvy Skinny Jean - Medium Wash,20.0
357,Heart Holder One Shoulder Top - Black,19.99
358,Tell Your Boy Bye Jeans - Grey,29.99
359,Falls Favorite Girl Sweater II - Ivory,10.0
360,Keep Your Shine Sequin Mini Dress - Blush,49.99
361,Giving Me The Feels Sweater - Black,15.0
362,Queen Of Hearts Jumpsuit - Black,20.0
363,Precious Fit High Waisted Jean - Medium,39.99
364,Katherine Hoop Earrings - Silver,9.99
365,Plain Jane Mini Shorts - White,6.0
366,Post Gym Selfie Jumpsuit - Black,16.0
367,Your Biggest Fan Heels - Black,34.99
368,Affair Of The Heart Mom Jeans - Medium Blue Wash,29.99
369,Uncomplicated Seamless Shorts - Nude,6.0
370,Just Between Us Sweater Dress - Black,29.99
371,Don't Get This Twisted Pant Set - Heather Grey,25.0
372,Like Me Better Jumpsuit - Cognac,44.99
373,Victoria High Waisted Dress Pants - Hunter Green,22.0
374,Clink Clink Heels - Nude,34.99
375,Janel Boyfriend Jeans - Medium Wash,11.98
376,Beverly Hills Tunic - Ivory,24.99
377,Roll Out Jeans - Black,14.98
378,Into The Layer Anklet - Gold,9.99
379,Crossover Straight Leg Jeans - Medium Wash,39.99
380,Stud Berry Earring Set - Gold,14.99
381,She's On Fire Pump - Nude,39.99
382,Teyana Leather Like Leggings - Black,29.99
383,Weekend Vibes Legging Set - Wine,25.0
384,Alter Ego High Waisted Distressed Jeans - Light Blue,17.98
385,Better Than Ever Hoodie Set - Charcoal,44.99
386,Tara Turtle Neck Sweater - Khaki,12.0
387,Crossover Straight Leg Jeans - Light Blue Wash,39.99
388,Get In The Groove Distressed Jeans - Black,6.98
389,Up To Trouble Fishnets Socks - Black,5.99
390,Round Of Applause Booty Shaped Jeans - Medium,8.98
391,Stole Your Boyfriend's Oversized Hoodie - Nude,22.0
392,Rachel Racerback Midi Dress - White,12.0
393,Good Vibes Cargo Jogger - Black,44.99
394,Night Moves Dress - Olive/Navy,44.99
395,Body Moves Midi Dress - Brown Leopard,14.0
396,Come My Way Midi Dress - Black,34.99
397,One of the Boys Dress - Charcoal,19.99
398,Very Special High Rise Mom Jeans - Medium Wash,31.99
399,Anne Marie Midi Dress - Dark Red,4.98
400,Ruffle Butter Dress - Black,34.99
401,Squat Like That Booty Lifting Jeans - Medium Blue Wash,29.99
402,San Antonio Distressed Jeans - Medium Blue,19.99
403,Rest Up Ribbed Legging Set - Brown,44.99
404,Olive Oil II Skirt - Black,24.99
405,Sunday Kind Of Love Duster Jacket - Black,29.99
406,Bondoc Biker Short Set - Mocha,7.98
407,Talk That Talk Off Shoulder Top - Ivory,5.98
408,One Of The Boys Dress - White,19.99
409,Waisted Away High Rise Legging - Black,9.0
410,All Split Up High Rise Mom Jeans - Medium Wash,15.0
411,Round Of Applause Booty Shaped Jeans - Black,8.98
412,Tennis And Chill Fleece Jogger - Black,14.0
413,Alyse Distressed Jeans - Medium,8.98
414,Don't Believe It Skinny Jeans - Dark Denim,39.99
415,Payin' It Forward Blazer Set - Black,35.0
416,Make A Wish Stretch Satin Pants - Black,39.99
417,Jumpin' Into It Jumpsuit - Black,34.99
418,Relaxed Vibe Joggers - Plum,14.0
419,You Want It I Got It Top - Black,12.0
420,Marja Over The Knee Boot - Black,44.99
421,Stormy Weather Mini Dress - Multi,34.99
422,Bennie Boyfriend Jeans - Medium Blue Wash,15.0
423,Luxe High Waist Skinny Jeans - Light,11.98
424,Caught In Your Love Distressed Jeans - Light Blue Wash,13.98
425,Chelsea Legging Set - Pink,25.0
426,Lil Bling Bling Anklet - Gold,5.99
427,Latest And Greatest French Terry Jogger - Charcoal,14.0
428,I'm The One Mini Dress - Magenta,44.99
429,Devan Hoop Earrings - Silver,9.99
430,Wanderlust Hoodie - Black,8.98
431,She Bad Skinny Jeans - Black,19.99
432,Relaxed Vibe Joggers - Blue,14.0
433,Payin' It Forward Blazer Set - Mauve,49.99
434,Salem High Rise Jeans - Medium Blue,19.99
435,Meet At My Favorite Spot Legging Set - Taupe,29.99
436,She Bad PU Leather Pant - Black,34.99
437,Hermosa Mariposa Butterfly Anklet - Gold,7.99
438,Weekend Vibes Short Set - Black,20.0
439,Classic Mini Biker Shorts - Red,14.0
440,Amelia Oversized Cargo Pants - Olive,44.99
441,Alika Skinny Jeans - Dark Denim,24.99
442,Anything But Square Tank - White,10.0
443,Your Next Boyfriend Skinny Jeans - Dark,24.99
444,Glimpse Of An Eye Earrings - Silver,5.99
445,Keepin Me Stressed Boyfriend Jeans - Medium Blue Wash,15.0
446,Make It Sexy Faux Leather Midi Dress - Brown,44.99
447,Selah Hoop Earrings - Silver,9.99
448,Wanderlust Hoodie - Rose,7.98
449,Relaxed Vibe Joggers - Red,14.0
450,More To The Story Midi Dress - Black,29.99
451,Don't Doubt Me Midi Dress - Red,39.99
452,Top Trend Ruched Maxi Dress - Black,49.99
453,Day Out Printed Midi Dress - Camouflage,8.0
454,Living In It 3 Piece Legging Set - Taupe,79.99
455,Fray What You Mean Flare Leg Jeans - Medium Blue Wash,15.98
456,Off With His Head Top - Army,15.0
457,Spree Dress - Burgundy,49.99
458,Soothe Off Shoulder Jumpsuit - Charcoal,20.0
459,She's All Clear Here Wedge - Nude,39.99
460,Top Of My List Distressed Jeans - Dark Wash,5.98
461,Bar Hopping Necklace - Gold,2.98
462,Sugar Free Dress - Royal,44.99
463,Sight to See Dress - Black,8.98
464,Mariah Slit Skirt Set - Black,44.99
465,Nice And Clear 3 Piece Biker Short Set - Black,39.99
466,Brielle High Rise Pants - Black,34.99
467,Portrait Of Our Love Dress - Grey Multi,34.99
468,Can't Let Me Go Skinny Jeans - Medium Blue Wash,34.99
469,Smarty Pants - Black,34.99
470,Kiki Pleather Cropped Top - Black,12.0
471,Off With His Head Top - Burgundy,15.0
472,Did You Mesh Me Ruched Midi Dress - Black/Black,49.99
473,My Number One Leggings - Black,7.0
474,Brand Spanking New Vinyl Pants - Black,27.99
475,Jessie Mid Rise Distressed Bootcut Jean - Light Blue Wash,39.99
476,Euphoria Bikini - Black,44.99
477,The New Look Joggers - Black,10.0
478,Weekend Vibes Legging Set - Mocha,25.0
479,Ray Skinny Jeans - Grey,29.99
480,Relaxed Vibe Solid Hoodie - Black,18.0
481,Buffy Jeans - Medium Wash,11.98
